Z,element,energy,vvol,magmom,potential,Valency,summed_DDEC6_bond_order
1,H,-1046.929,10.509,-0.009,H,1,1.174
2,He,-1041.792,11.205,-0.005,He,2,0.558
3,Li,-1047.102,11.371,-0.084,Li,1,0.79
4,Be,-1049.968,11.021,-0.151,Be,2,2.123
5,B,-1052.084,10.507,-0.157,B,3,3.082
6,C,-1052.253,10.249,-0.102,C,4,3.826
7,N,-1051.44,10.461,0.047,N,5,3.434
8,O,-1050.052,10.854,0.227,O,6,2.626
9,F,-1047.291,11.355,0.174,F,7,1.568
10,Ne,-1040.445,11.945,0.02,Ne,8,1.018
11,Na,-1043.951,12.209,-0.045,Na,1,1.15
12,Mg,-1046.674,12.071,-0.064,Mg,2,1.947
13,Al,-1050.662,11.71,-0.085,Al,3,3.122
14,Si,-1052.744,11.367,-0.097,Si,4,4.321
15,P,-1052.686,11.181,-0.056,P,5,4.323
16,S,-1050.065,11.365,0.041,S,6,3.805
17,Cl,-1045.493,11.971,0.143,Cl,7,3.024
18,Ar,-1038.368,12.64,0.177,Ar,8,2.362
19,K,-1040.117,13.197,0.076,K_pv,7,2.138
20,Ca,-1044.746,12.87,-0.248,Ca_pv,8,2.694
21,Sc,-1052.063,12.349,-0.56,Sc,3,3.186
22,Ti,-1054.708,11.769,-0.965,Ti,4,3.614
23,V,-1055.817,11.417,-1.43,V,5,3.877
24,Cr,-1055.918,11.335,-1.855,Cr,6,3.848
25,Mn,-1055.056,11.417,-2.064,Mn,7,4.22
26,Fe,-1054.345,11.358,2.196,Fe,8,3.972
27,Co,-1053.327,11.351,1.685,Co,9,3.804
28,Ni,-1051.657,11.511,0.887,Ni,10,3.533
29,Cu,-1049.282,11.558,0.119,Cu,11,3.224
30,Zn,-1046.96,11.717,-0.098,Zn,12,3.416
31,Ga,-1049.439,11.748,-0.2,Ga,3,3.754
32,Ge,-1051.07,11.75,-0.129,Ge,4,4.219
33,As,-1051.15,11.734,-0.068,As,5,4.361
34,Se,-1049.187,11.875,-0.004,Se,6,4.192
35,Br,-1044.972,12.25,0.079,Br,7,3.741
36,Kr,-1038.046,12.843,0.192,Kr,8,3.245
37,Rb,-1039.032,13.45,0.055,Rb_pv,7,2.922
38,Sr,-1042.757,13.336,-0.064,Sr_sv,10,3.362
39,Y,-1050.536,13.005,0.009,Y_sv,11,3.943
40,Zr,-1054.382,12.531,-0.444,Zr_sv,12,4.515
41,Nb,-1056.313,12.15,-0.759,Nb_pv,11,5.004
42,Mo,-1057.191,11.789,-0.831,Mo,6,5.177
43,Tc,-1056.398,11.654,-0.604,Tc,7,5.279
44,Ru,-1055.099,11.735,0.227,Ru,8,4.955
45,Rh,-1053.442,11.926,0.597,Rh,9,4.645
46,Pd,-1050.973,12.207,0.365,Pd,10,3.848
47,Ag,-1047.059,12.463,0.057,Ag,11,3.789
48,Cd,-1045.055,12.551,-0.079,Cd,12,3.968
49,In,-1047.438,12.584,-0.255,In,3,4.18
50,Sn,-1049.29,12.568,-0.214,Sn,4,4.729
51,Sb,-1049.746,12.492,-0.093,Sb,5,5.136
52,Te,-1048.346,12.472,-0.065,Te,6,5.266
53,I,-1044.753,12.593,-0.012,I,7,5.119
54,Xe,-1037.793,13.134,0.144,Xe,8,4.518
55,Cs,-1039.334,13.322,0.03,Cs_sv,9,4.395
56,Ba,-1042.107,13.639,-0.125,Ba_sv,10,4.602
57,La,-1048.388,13.025,-0.019,La,11,5.144
58,Ce,-1051.032,12.533,-0.244,Ce,12,5.311
59,Pr,-1052.035,12.295,-1.322,Pr,13,5.227
60,Nd,-1052.843,12.412,-2.722,Nd,14,5.0
61,Pm,-1053.945,12.546,-3.938,Pm,15,4.765
62,Sm,-1055.274,12.689,-5.102,Sm,16,4.542
63,Eu,-1053.505,12.879,-6.259,Eu,17,4.264
64,Gd,-1058.267,12.945,-6.698,Gd,18,4.297
65,Tb,-1056.666,12.746,-5.888,Tb,19,4.357
66,Dy,-1054.977,12.704,4.764,Dy,20,4.3
67,Ho,-1053.473,12.732,3.708,Ho,21,4.168
68,Er,-1052.161,12.749,2.697,Er,22,4.071
69,Tm,-1051.133,12.775,1.617,Tm,23,4.05
70,Yb,-1045.266,12.834,0.42,Yb,24,
71,Lu,-1049.22,12.855,0.029,Lu,25,4.152
72,Hf,-1056.183,12.426,-0.583,Hf,4,4.747
73,Ta,-1058.397,12.087,-0.797,Ta,5,5.428
74,W,-1059.206,11.802,-0.803,W,6,5.73
75,Re,-1058.603,11.684,-0.635,Re,7,6.015
76,Os,-1057.168,11.766,-0.112,Os,8,5.795
77,Ir,-1055.231,11.94,0.378,Ir,9,5.317
78,Pt,-1052.537,12.21,0.37,Pt,10,4.674
79,Au,-1048.426,12.557,0.154,Au,11,4.391
80,Hg,-1044.225,12.793,-0.05,Hg,12,4.324
81,Tl,-1045.879,12.744,-0.225,Tl,3,4.42
82,Pb,-1047.386,12.877,-0.205,Pb,4,4.773
83,Bi,-1047.73,12.984,-0.151,Bi,5,5.075
84,Po,-1046.639,13.037,-0.094,Po,6,5.293
85,At,-1043.501,13.179,-0.042,At,7,5.308
86,Rn,-1038.093,13.336,0.017,Rn,8,5.226
87,Fr,-1038.956,13.579,0.023,Fr_sv,9,5.025
88,Ra,-1041.273,13.666,0.013,Ra_sv,10,5.334
89,Ac,-1046.366,13.498,-0.002,Ac,11,5.771
90,Th,-1051.973,13.058,-0.062,Th,12,6.262
91,Pa,-1055.5,12.461,-0.34,Pa,13,6.537
92,U,-1057.555,12.073,-1.052,U,14,6.403
